complaint,sentiment,category
Road damage near MG Road hospital is causing problems for ambulances!,2,Flooding
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Road Damage
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Traffic signal at MG Road is under maintenance.,1,Sign Missing/Damaged
Road widening project at Anna Salai is going well. Good job!,0,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Traffic Light Issue
There is construction work happening on Brigade Road road.,1,Noise Pollution
Road sign missing near Linking Road school zone. Children at risk!,2,Road Damage
Speed limit has been changed to 40 kmph near Old Airport Road.,1,Road Damage
Road sign missing near Brigade Road school zone. Children at risk!,2,Pothole
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Sign Missing/Damaged
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Road Damage
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Flooding
Road diversion in effect near SV Road due to pipeline work.,1,Pothole
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Pothole
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Traffic chaos at Connaught Place due to broken signal. Needs urgent fix!,2,Flooding
Severe flooding on Old Airport Road road every time it rains. Pathetic!,2,Traffic Light Issue
Road closure scheduled for Anna Salai bypass for bridge inspection.,1,Pothole
The road in MG Road is full of potholes. Government please fix!,2,Flooding
Traffic signal at Old Airport Road is under maintenance.,1,Flooding
Speed limit has been changed to 40 kmph near Linking Road.,1,Road Damage
There is construction work happening on Connaught Place road.,1,Flooding
Speed limit has been changed to 40 kmph near Brigade Road.,1,Pothole
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Traffic Light Issue
Road sign missing near Old Airport Road school zone. Children at risk!,2,Sign Missing/Damaged
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Road Damage
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Flooding
new road signs installed in brigade road. very helpful for drivers.,0,Other
Appreciate the fast response to the complaint about MG Road road.,0,Sign Missing/Damaged
Traffic light at Rajiv Chowk is broken for 2 weeks. Very dangerous!,2,Road Damage
The road in Linking Road is full of potholes. Government please fix!,2,Sign Missing/Damaged
The municipality has announced repairs for Old Airport Road road next week.,1,Pothole
The municipality has announced repairs for Anna Salai road next week.,1,Pothole
Road closure scheduled for Rajiv Chowk bypass for bridge inspection.,1,Road Damage
The road in Brigade Road is full of potholes. Government please fix!,2,Pothole
Huge pothole on SV Road road causing accidents. No action taken!,2,Pothole
No streetlights on Gandhi Nagar road. Very unsafe at night!,2,Road Damage
Severe flooding on MG Road road every time it rains. Pathetic!,2,Pothole
the road on mg road is completely damaged. immediate repair needed!,2,Pothole
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Sign Missing/Damaged
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Traffic Light Issue
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Pothole
New traffic rules implemented at SV Road junction from today.,1,Road Damage
The road on MG Road is completely damaged. Immediate repair needed!,2,Pothole
Traffic lights at Old Airport Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
The road on SV Road is completely damaged. Immediate repair needed!,2,Flooding
No streetlights on Brigade Road road. Very unsafe at night!,2,Sign Missing/Damaged
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Pothole
No streetlights on Linking Road road. Very unsafe at night!,2,Pothole
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Road Damage
Speed limit has been changed to 40 kmph near Linking Road.,1,Traffic Light Issue
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Road Damage
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Sign Missing/Damaged
Road diversion in effect near Brigade Road due to pipeline work.,1,Sign Missing/Damaged
New road signs installed in Old Airport Road. Very helpful for drivers.,0,Sign Missing/Damaged
speed limit has been changed to 40 kmph near old airport road.,1,Illegal Parking
The pothole on SV Road road was fixed quickly. Thank you!,0,Traffic Light Issue
road widening project at old airport road is going well. good job!,0,Sign Missing/Damaged
The road in SV Road is full of potholes. Government please fix!,2,Traffic Light Issue
the pothole on old airport road road was fixed quickly. thank you!,0,Road Damage
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Pothole
Garbage dumped on Anna Salai road. Municipality is not cleaning!,2,Traffic Light Issue
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Pothole
Road closure scheduled for SV Road bypass for bridge inspection.,1,Flooding
No streetlights on MG Road road. Very unsafe at night!,2,Pothole
There is construction work happening on Nehru Street road.,1,Pothole
Road sign missing near Anna Salai school zone. Children at risk!,2,Pothole
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Road Damage
Road damage near Anna Salai hospital is causing problems for ambulances!,2,Traffic Light Issue
Severe flooding on MG Road road every time it rains. Pathetic!,2,Flooding
new traffic rules implemented at nehru street junction from today.,1,Sign Missing/Damaged
no streetlights on linking road road. very unsafe at night!,2,Road Damage
Severe flooding on Linking Road road every time it rains. Pathetic!,2,Sign Missing/Damaged
Road sign missing near Nehru Street school zone. Children at risk!,2,Road Damage
Huge pothole on SV Road road causing accidents. No action taken!,2,Traffic Light Issue
New traffic rules implemented at Gandhi Nagar junction from today.,1,Traffic Light Issue
Road sign missing near MG Road school zone. Children at risk!,2,Road Damage
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Traffic Light Issue
There is construction work happening on Brigade Road road.,1,Illegal Parking
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Other
the road on nehru street is completely damaged. immediate repair needed!,2,Flooding
Appreciate the fast response to the complaint about Linking Road road.,0,Sign Missing/Damaged
Appreciate the fast response to the complaint about Gandhi Nagar road.,0,Other
New road signs installed in Linking Road. Very helpful for drivers.,0,Road Damage
New traffic rules implemented at MG Road junction from today.,1,Pothole
Road widening project at SV Road is going well. Good job!,0,Traffic Light Issue
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Traffic Light Issue
Traffic chaos at Nehru Street due to broken signal. Needs urgent fix!,2,Flooding
No streetlights on Linking Road road. Very unsafe at night!,2,Traffic Light Issue
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Road Damage
Road diversion in effect near Gandhi Nagar due to pipeline work.,1,Noise Pollution
Traffic light at Connaught Place is broken for 2 weeks. Very dangerous!,2,Pothole
Road sign missing near MG Road school zone. Children at risk!,2,Traffic Light Issue
Road widening project at MG Road is going well. Good job!,0,Road Damage
Appreciate the fast response to the complaint about Nehru Street road.,0,Traffic Light Issue
The road in MG Road is full of potholes. Government please fix!,2,Flooding
Road sign missing near Linking Road school zone. Children at risk!,2,Flooding
Huge pothole on Nehru Street road causing accidents. No action taken!,2,Traffic Light Issue
Garbage dumped on Nehru Street road. Municipality is not cleaning!,2,Traffic Light Issue
Road damage near Old Airport Road hospital is causing problems for ambulances!,2,Pothole
Appreciate the fast response to the complaint about Linking Road road.,0,Traffic Light Issue
Street lighting improved on Nehru Street road. Feeling safer now.,0,Other
The road in Old Airport Road has been repaired. Excellent work by the municipality!,0,Other
Road widening project at Brigade Road is going well. Good job!,0,Traffic Light Issue
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Flooding
No streetlights on Rajiv Chowk road. Very unsafe at night!,2,Road Damage
Road closure scheduled for Brigade Road bypass for bridge inspection.,1,Flooding
road sign missing near old airport road school zone. children at risk!,2,Road Damage
There is construction work happening on Nehru Street road.,1,Traffic Light Issue
Road diversion in effect near Anna Salai due to pipeline work.,1,Traffic Light Issue
The road in Brigade Road is full of potholes. Government please fix!,2,Road Damage
The road on Linking Road is completely damaged. Immediate repair needed!,2,Road Damage
The municipality has announced repairs for Old Airport Road road next week.,1,Traffic Light Issue
The road in Nehru Street has been repaired. Excellent work by the municipality!,0,Road Damage
The road on Linking Road is completely damaged. Immediate repair needed!,2,Road Damage
Road diversion in effect near Brigade Road due to pipeline work.,1,Other
Speed limit has been changed to 40 kmph near MG Road.,1,Flooding
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Huge pothole on MG Road road causing accidents. No action taken!,2,Traffic Light Issue
The new road markings on Connaught Place street are very clear.,0,Sign Missing/Damaged
the municipality has announced repairs for anna salai road next week.,1,Road Damage
The new road markings on Anna Salai street are very clear.,0,Road Damage
Road damage near Brigade Road hospital is causing problems for ambulances!,2,Traffic Light Issue
Severe flooding on SV Road road every time it rains. Pathetic!,2,Traffic Light Issue
Huge pothole on Linking Road road causing accidents. No action taken!,2,Traffic Light Issue
Road sign missing near Linking Road school zone. Children at risk!,2,Sign Missing/Damaged
Traffic signal at Connaught Place is under maintenance.,1,Noise Pollution
Traffic light at Gandhi Nagar is broken for 2 weeks. Very dangerous!,2,Flooding
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Road Damage
Road closure scheduled for Old Airport Road bypass for bridge inspection.,1,Traffic Light Issue
Road widening project at Nehru Street is going well. Good job!,0,Road Damage
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Sign Missing/Damaged
The road on Linking Road is completely damaged. Immediate repair needed!,2,Pothole
the road on connaught place is completely damaged. immediate repair needed!,2,Pothole
Traffic signal at Linking Road is under maintenance.,1,Flooding
Road diversion in effect near Rajiv Chowk due to pipeline work.,1,Illegal Parking
no streetlights on anna salai road. very unsafe at night!,2,Flooding
Garbage dumped on Gandhi Nagar road. Municipality is not cleaning!,2,Sign Missing/Damaged
The road in Gandhi Nagar has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
New traffic rules implemented at Old Airport Road junction from today.,1,Flooding
Traffic signal at Linking Road is under maintenance.,1,Pothole
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Pothole
The road in Anna Salai is full of potholes. Government please fix!,2,Traffic Light Issue
Traffic lights at Brigade Road junction are working perfectly now. Great improvement!,0,Road Damage
There is construction work happening on Nehru Street road.,1,Sign Missing/Damaged
No streetlights on Anna Salai road. Very unsafe at night!,2,Flooding
Road diversion in effect near Nehru Street due to pipeline work.,1,Sign Missing/Damaged
Traffic chaos at Anna Salai due to broken signal. Needs urgent fix!,2,Pothole
There is construction work happening on Linking Road road.,1,Road Damage
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
The road in Brigade Road is full of potholes. Government please fix!,2,Pothole
Speed limit has been changed to 40 kmph near MG Road.,1,Road Damage
Traffic light at Linking Road is broken for 2 weeks. Very dangerous!,2,Flooding
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Road Damage
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Flooding
The road in Connaught Place has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Severe flooding on Connaught Place road every time it rains. Pathetic!,2,Road Damage
Road widening project at Connaught Place is going well. Good job!,0,Traffic Light Issue
Traffic lights at Brigade Road junction are working perfectly now. Great improvement!,0,Sign Missing/Damaged
New road signs installed in Linking Road. Very helpful for drivers.,0,Other
New road signs installed in Gandhi Nagar. Very helpful for drivers.,0,Other
Road damage near Connaught Place hospital is causing problems for ambulances!,2,Road Damage
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Flooding
Road diversion in effect near Connaught Place due to pipeline work.,1,Traffic Light Issue
Street lighting improved on Anna Salai road. Feeling safer now.,0,Other
the road on nehru street is completely damaged. immediate repair needed!,2,Flooding
traffic chaos at linking road due to broken signal. needs urgent fix!,2,Pothole
Speed limit has been changed to 40 kmph near Nehru Street.,1,Road Damage
Appreciate the fast response to the complaint about Linking Road road.,0,Traffic Light Issue
There is construction work happening on SV Road road.,1,Flooding
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
The road in Gandhi Nagar is full of potholes. Government please fix!,2,Traffic Light Issue
Road sign missing near Connaught Place school zone. Children at risk!,2,Sign Missing/Damaged
Severe flooding on Rajiv Chowk road every time it rains. Pathetic!,2,Traffic Light Issue
there is construction work happening on anna salai road.,1,Traffic Light Issue
the road in linking road is full of potholes. government please fix!,2,Flooding
Traffic chaos at MG Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Pothole
Traffic light at Brigade Road is broken for 2 weeks. Very dangerous!,2,Flooding
road sign missing near sv road school zone. children at risk!,2,Flooding
Traffic chaos at Brigade Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Road damage near SV Road hospital is causing problems for ambulances!,2,Road Damage
the pothole on linking road road was fixed quickly. thank you!,0,Sign Missing/Damaged
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Flooding
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Pothole
Garbage dumped on Brigade Road road. Municipality is not cleaning!,2,Traffic Light Issue
The road in MG Road is full of potholes. Government please fix!,2,Traffic Light Issue
Speed limit has been changed to 40 kmph near SV Road.,1,Sign Missing/Damaged
The road in Nehru Street is full of potholes. Government please fix!,2,Sign Missing/Damaged
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Traffic Light Issue
Appreciate the fast response to the complaint about Gandhi Nagar road.,0,Sign Missing/Damaged
Huge pothole on Connaught Place road causing accidents. No action taken!,2,Flooding
Road damage near MG Road hospital is causing problems for ambulances!,2,Pothole
The road in Brigade Road is full of potholes. Government please fix!,2,Traffic Light Issue
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Flooding
Traffic lights at Nehru Street junction are working perfectly now. Great improvement!,0,Other
The road on Rajiv Chowk is completely damaged. Immediate repair needed!,2,Pothole
New road signs installed in Linking Road. Very helpful for drivers.,0,Traffic Light Issue
Traffic light at Nehru Street is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
Appreciate the fast response to the complaint about MG Road road.,0,Sign Missing/Damaged
No streetlights on Old Airport Road road. Very unsafe at night!,2,Pothole
The road on Nehru Street is completely damaged. Immediate repair needed!,2,Traffic Light Issue
Road widening project at Connaught Place is going well. Good job!,0,Road Damage
The road in Nehru Street is full of potholes. Government please fix!,2,Traffic Light Issue
Severe flooding on Linking Road road every time it rains. Pathetic!,2,Flooding
Speed limit has been changed to 40 kmph near SV Road.,1,Sign Missing/Damaged
Road closure scheduled for Rajiv Chowk bypass for bridge inspection.,1,Traffic Light Issue
Street lighting improved on SV Road road. Feeling safer now.,0,Other
traffic chaos at linking road due to broken signal. needs urgent fix!,2,Road Damage
The pothole on Anna Salai road was fixed quickly. Thank you!,0,Sign Missing/Damaged
Street lighting improved on Gandhi Nagar road. Feeling safer now.,0,Other
Appreciate the fast response to the complaint about SV Road road.,0,Traffic Light Issue
Road sign missing near Nehru Street school zone. Children at risk!,2,Road Damage
The road in Rajiv Chowk is full of potholes. Government please fix!,2,Flooding
road damage near mg road hospital is causing problems for ambulances!,2,Flooding
Road diversion in effect near Rajiv Chowk due to pipeline work.,1,Flooding
Road damage near SV Road hospital is causing problems for ambulances!,2,Traffic Light Issue
The pothole on MG Road road was fixed quickly. Thank you!,0,Road Damage
Appreciate the fast response to the complaint about Rajiv Chowk road.,0,Other
The road on Anna Salai is completely damaged. Immediate repair needed!,2,Pothole
Road sign missing near MG Road school zone. Children at risk!,2,Pothole
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Traffic Light Issue
No streetlights on Old Airport Road road. Very unsafe at night!,2,Sign Missing/Damaged
The road in Brigade Road is full of potholes. Government please fix!,2,Road Damage
Traffic lights at SV Road junction are working perfectly now. Great improvement!,0,Other
No streetlights on Nehru Street road. Very unsafe at night!,2,Traffic Light Issue
The road in Old Airport Road is full of potholes. Government please fix!,2,Pothole
Appreciate the fast response to the complaint about Old Airport Road road.,0,Sign Missing/Damaged
Traffic light at SV Road is broken for 2 weeks. Very dangerous!,2,Pothole
No streetlights on Linking Road road. Very unsafe at night!,2,Flooding
The road in Anna Salai is full of potholes. Government please fix!,2,Pothole
There is construction work happening on Linking Road road.,1,Sign Missing/Damaged
Road widening project at Brigade Road is going well. Good job!,0,Road Damage
The municipality has announced repairs for Connaught Place road next week.,1,Road Damage
Road sign missing near Linking Road school zone. Children at risk!,2,Flooding
The municipality has announced repairs for Nehru Street road next week.,1,Other
Road sign missing near SV Road school zone. Children at risk!,2,Pothole
Huge pothole on Anna Salai road causing accidents. No action taken!,2,Sign Missing/Damaged
Traffic signal at Brigade Road is under maintenance.,1,Illegal Parking
Speed limit has been changed to 40 kmph near Anna Salai.,1,Noise Pollution
No streetlights on Nehru Street road. Very unsafe at night!,2,Pothole
severe flooding on connaught place road every time it rains. pathetic!,2,Flooding
Road damage near Rajiv Chowk hospital is causing problems for ambulances!,2,Road Damage
New road signs installed in MG Road. Very helpful for drivers.,0,Road Damage
Speed limit has been changed to 40 kmph near Gandhi Nagar.,1,Noise Pollution
No streetlights on Nehru Street road. Very unsafe at night!,2,Traffic Light Issue
Garbage dumped on Old Airport Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Traffic Light Issue
the municipality has announced repairs for rajiv chowk road next week.,1,Pothole
Severe flooding on Gandhi Nagar road every time it rains. Pathetic!,2,Road Damage
Road sign missing near Rajiv Chowk school zone. Children at risk!,2,Pothole
the pothole on gandhi nagar road was fixed quickly. thank you!,0,Traffic Light Issue
road widening project at rajiv chowk is going well. good job!,0,Road Damage
Appreciate the fast response to the complaint about Brigade Road road.,0,Other
Huge pothole on Linking Road road causing accidents. No action taken!,2,Road Damage
Huge pothole on Linking Road road causing accidents. No action taken!,2,Sign Missing/Damaged
Street lighting improved on Nehru Street road. Feeling safer now.,0,Traffic Light Issue
Severe flooding on Anna Salai road every time it rains. Pathetic!,2,Road Damage
Road widening project at Rajiv Chowk is going well. Good job!,0,Sign Missing/Damaged
No streetlights on Connaught Place road. Very unsafe at night!,2,Pothole
The road in Anna Salai has been repaired. Excellent work by the municipality!,0,Traffic Light Issue
Traffic chaos at Linking Road due to broken signal. Needs urgent fix!,2,Sign Missing/Damaged
Speed limit has been changed to 40 kmph near Gandhi Nagar.,1,Road Damage
The road in Anna Salai is full of potholes. Government please fix!,2,Road Damage
Severe flooding on SV Road road every time it rains. Pathetic!,2,Flooding
Road widening project at Anna Salai is going well. Good job!,0,Traffic Light Issue
Huge pothole on Rajiv Chowk road causing accidents. No action taken!,2,Pothole
New traffic rules implemented at MG Road junction from today.,1,Illegal Parking
The municipality has announced repairs for MG Road road next week.,1,Traffic Light Issue
The road on SV Road is completely damaged. Immediate repair needed!,2,Road Damage
Garbage dumped on Rajiv Chowk road. Municipality is not cleaning!,2,Traffic Light Issue
Huge pothole on Old Airport Road road causing accidents. No action taken!,2,Road Damage
the road in anna salai is full of potholes. government please fix!,2,Sign Missing/Damaged
Traffic signal at Gandhi Nagar is under maintenance.,1,Other
The road in Connaught Place is full of potholes. Government please fix!,2,Pothole
no streetlights on gandhi nagar road. very unsafe at night!,2,Traffic Light Issue
Road sign missing near SV Road school zone. Children at risk!,2,Traffic Light Issue
New road signs installed in Rajiv Chowk. Very helpful for drivers.,0,Traffic Light Issue
Road sign missing near Gandhi Nagar school zone. Children at risk!,2,Traffic Light Issue
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Sign Missing/Damaged
Traffic signal at Nehru Street is under maintenance.,1,Road Damage
The new road markings on Old Airport Road street are very clear.,0,Road Damage
Traffic signal at MG Road is under maintenance.,1,Flooding
The road in Nehru Street is full of potholes. Government please fix!,2,Road Damage
The road in Connaught Place is full of potholes. Government please fix!,2,Flooding
Road closure scheduled for SV Road bypass for bridge inspection.,1,Traffic Light Issue
There is construction work happening on Old Airport Road road.,1,Traffic Light Issue
Road diversion in effect near Linking Road due to pipeline work.,1,Pothole
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Sign Missing/Damaged
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Traffic Light Issue
The road on Gandhi Nagar is completely damaged. Immediate repair needed!,2,Flooding
Traffic chaos at Old Airport Road due to broken signal. Needs urgent fix!,2,Flooding
Traffic light at Anna Salai is broken for 2 weeks. Very dangerous!,2,Flooding
traffic chaos at connaught place due to broken signal. needs urgent fix!,2,Road Damage
The municipality has announced repairs for Brigade Road road next week.,1,Traffic Light Issue
Road damage near Nehru Street hospital is causing problems for ambulances!,2,Flooding
The road in Linking Road has been repaired. Excellent work by the municipality!,0,Sign Missing/Damaged
Huge pothole on MG Road road causing accidents. No action taken!,2,Sign Missing/Damaged
New traffic rules implemented at Gandhi Nagar junction from today.,1,Other
Traffic light at Old Airport Road is broken for 2 weeks. Very dangerous!,2,Pothole
Traffic light at MG Road is broken for 2 weeks. Very dangerous!,2,Pothole
The municipality has announced repairs for Rajiv Chowk road next week.,1,Traffic Light Issue
The new road markings on SV Road street are very clear.,0,Other
The road on Connaught Place is completely damaged. Immediate repair needed!,2,Sign Missing/Damaged
Traffic light at Connaught Place is broken for 2 weeks. Very dangerous!,2,Flooding
traffic chaos at mg road due to broken signal. needs urgent fix!,2,Flooding
Road closure scheduled for Linking Road bypass for bridge inspection.,1,Other
road sign missing near rajiv chowk school zone. children at risk!,2,Pothole
Traffic lights at Connaught Place junction are working perfectly now. Great improvement!,0,Road Damage
The road in SV Road has been repaired. Excellent work by the municipality!,0,Road Damage
Traffic signal at Connaught Place is under maintenance.,1,Pothole
New road signs installed in Rajiv Chowk. Very helpful for drivers.,0,Sign Missing/Damaged
The road on Old Airport Road is completely damaged. Immediate repair needed!,2,Pothole
Garbage dumped on Linking Road road. Municipality is not cleaning!,2,Traffic Light Issue
road closure scheduled for sv road bypass for bridge inspection.,1,Flooding
Traffic lights at Brigade Road junction are working perfectly now. Great improvement!,0,Traffic Light Issue
Huge pothole on SV Road road causing accidents. No action taken!,2,Road Damage
New traffic rules implemented at MG Road junction from today.,1,Other
New road signs installed in Brigade Road. Very helpful for drivers.,0,Road Damage
road damage near anna salai hospital is causing problems for ambulances!,2,Flooding
Road widening project at Nehru Street is going well. Good job!,0,Other
